Paragraph,cleaned_text
To enjoy additional benefits,enjoy additional benefit
CONNECT WITH US,connect u
"Updated  - November 02, 2024 10:41 pm IST - Mumbai",updated november pm ist mumbai
"
                    Shiv Sena (UBT) chief Uddhav Thackeray. File
                                          | Photo Credit: PTI
                                      ",shiv sena ubt chief uddhav thackeray file photo credit pti
Shiv Sena (UBT) chief Uddhav Thackeray will begin his campaign trail for the Maharashtra Assembly polls on November 5 from Konkan and Vidarbha with focus on constituencies of MLAs who were part of the 2022 rebellion led by now Chief Minister Eknath Shinde.,shiv sena ubt chief uddhav thackeray begin campaign trail maharashtra assembly poll november konkan vidarbha focus constituency mlas part rebellion led chief minister eknath shinde
"Mr. Thackeray will address a rally in Ratnagiri on November 5, a seat represented by State Industries Minister Uday Samant. He will also canvass votes for party MLA Rajan Salvi who is contesting from neighbouring Rajapur constituency.",mr thackeray address rally ratnagiri november seat represented state industry minister uday samant also canvas vote party mla rajan salvi contesting neighbouring rajapur constituency
"On November 6, Mr. Thackeray will campaign in Bhiwandi Rural constituency, which is represented by Shantaram More, one of the 40 MLAs who rebelled against him. Bhiwandi Rural is part of Thane district, the home turf of CM Shinde.",november mr thackeray campaign bhiwandi rural constituency represented shantaram one mlas rebelled bhiwandi rural part thane district home turf cm shinde
"On the same day, Mr. Thackeray will take part in the Maha Vikas Aghadi’s rally at Bandra Kurla Complex here, which will be attended by Congress leader Rahul Gandhi and NCP (SP) president Sharad Pawar.",day mr thackeray take part maha vikas aghadis rally bandra kurla complex attended congress leader rahul gandhi ncp sp president sharad pawar
"On November 7, he will campaign in Daryapur from where Abhijit Adsul, son of Shinde-led Shiv Sena leader Anand Adsul, is contesting.",november campaign daryapur abhijit adsul son shindeled shiv sena leader anand adsul contesting
"On the same day, the Shiv Sena (UBT) chief will campaign for Sunil Kharate, the party’s candidate from Badnera.",day shiv sena ubt chief campaign sunil kharate party candidate badnera
"Badnera is the constituency of MLA Ravi Rana, a BJP ally, who was jailed for threatening to recite Hanuman Chalisa outside Matoshri, the private residence of the Thackerays, when Mr. Thackeray was the Chief Minister.",badnera constituency mla ravi rana bjp ally jailed threatening recite hanuman chalisa outside matoshri private residence thackeray mr thackeray chief minister
"On November 8, Mr. Thackeray will campaign in Buldhana and Mehkar in Vidarbha, represented by Sanjay Gaikwad and Sanjay Raymulkar respectively. The two were part of the Shinde-led rebellion against Mr. Thackeray in 2022.",november mr thackeray campaign buldhana mehkar vidarbha represented sanjay gaikwad sanjay raymulkar respectively two part shindeled rebellion mr thackeray
"In Partur in Parbhani district, Mr. Thackeray will campaign for party candidate Asaram Borade, who is pitted against BJP’s sitting MLA Babanrao Lonikar.",partur parbhani district mr thackeray campaign party candidate asaram borade pitted bjps sitting mla babanrao lonikar
The Shiv Sena split in June 2022 after Mr. Shinde led a rebellion and brought down the MVA government under Mr. Thackeray.,shiv sena split june mr shinde led rebellion brought mva government mr thackeray
The Election Commission later gave the party name and its 'bow and arrow' symbol to the faction led by Mr. Shinde. Mr. Thackeray's outfit is now called Shiv Sena (Uddhav Balasaheb Thackeray).,election commission later gave party name bow arrow symbol faction led mr shinde mr thackeray outfit called shiv sena uddhav balasaheb thackeray
"The election to the Maharashtra Assembly will be held on November 20, while votes will be counted on November 23.",election maharashtra assembly held november vote counted november
" Published - November 02, 2024 10:38 pm IST",published november pm ist
"
                        India
                    
                            /                      
                        
                        Maharashtra Assembly Elections 2024
                    
                            /                      
                        
                        Maharashtra
                    
                            /                      
                        
                        Shiv Sena
                    ",india maharashtra assembly election maharashtra shiv sena
"
					Copyright© 2024, THG PUBLISHING PVT LTD. or its affiliated companies. All rights reserved.
				",copyright thg publishing pvt ltd affiliated company right reserved
BACK TO TOP,back top
Terms & conditions  |  Institutional Subscriber,term condition institutional subscriber
"Comments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines   for posting your comments. ",comment english full sentence abusive personal please abide community guideline posting comment
"We have migrated to a new commenting platform. If you are already a registered user of The Hindu and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments. Users can access their older comments by logging into their accounts on Vuukle.",migrated new commenting platform already registered user hindu logged may continue engage article account please register login post comment user access older comment logging account vuukle
To enjoy additional benefits,enjoy additional benefit
CONNECT WITH US,connect u
"Updated  - November 01, 2024 09:08 pm IST - MUMBAI",updated november pm ist mumbai
"
                    In the Maharashtra Assembly elections, at least five constituencies see clashes between close relatives. In Baramati, NCP chief Ajit Pawar is contesting against his nephew Yugendra Pawar of NCP(SP).
                                          | Photo Credit: ANI
                                      ",maharashtra assembly election least five constituency see clash close relative baramati ncp chief ajit pawar contesting nephew yugendra pawar ncpsp photo credit ani
"The upcoming Maharashtra Assembly election is set to be the arena for some bitter family battles, with at least five constituencies seeing clashes between close relatives.",upcoming maharashtra assembly election set arena bitter family battle least five constituency seeing clash close relative
"There’s a high octane fight brewing in Baramati, where the Nationalist Congress Party (NCP) chief Ajit Pawar is  contesting against his nephew Yugendra Pawar, who is representing the NCP (SP). In Aheri, NCP Minister Dharmarao Baba Atram will face off against his daughter Bhagyashree Atram-Halgekar who has joined the NCP (SP). Yet another fight between families split by the NCP divide is happening in Sindhkhedraja, where Rajendra Shingne who recently joined the NCP (SP) is battling his niece Gayatri Shingane of the NCP",there high octane fight brewing baramati nationalist congress party ncp chief ajit pawar contesting nephew yugendra pawar representing ncp sp aheri ncp minister dharmarao baba atram face daughter bhagyashree atramhalgekar joined ncp sp yet another fight family split ncp divide happening sindhkhedraja rajendra shingne recently joined ncp sp battling niece gayatri shingane ncp
"In the Loha-Kandhar constituency, the NCP’s Prataprao Patil Chikhalikar is taking on his brother-in-law, Shyamsunder Shinde of the Peasant and Workers Party. In Nashik’s Chandwad constituency, BJP candidate Rahul Aher is contesting against his brother Keda Aher, an independent. ",lohakandhar constituency ncps prataprao patil chikhalikar taking brotherinlaw shyamsunder shinde peasant worker party nashiks chandwad constituency bjp candidate rahul aher contesting brother keda aher independent
"In 2023, Mr. Ajit Pawar split the NCP, taking 45 MLAs along with him to join the ruling Mahayuti alliance, as he became Deputy Chief Minister of the State. In the Lok Sabha election held earlier this year, the battle lines between the NCP factions were drawn in the family home of Baramati, with Mr. Ajit Pawar fielding his wife Sunetra Pawar in an unsuccessful fight against his cousin Supriya Sule, daughter of party patriarch Sharad Pawar. Now, Mr. Ajit Pawar is attempting to win the Baramati Assembly seat by defeating his own brother’s son.",mr ajit pawar split ncp taking mlas along join ruling mahayuti alliance became deputy chief minister state lok sabha election held earlier year battle line ncp faction drawn family home baramati mr ajit pawar fielding wife sunetra pawar unsuccessful fight cousin supriya sule daughter party patriarch sharad pawar mr ajit pawar attempting win baramati assembly seat defeating brother son
