Constituency_No,Year,Position,Sex,Party,Votes,Age,Candidate_Type,Constituency_Name,Constituency_Type,Vote_Share_Percentage,Margin,Margin_Percentage,Incumbent
1,2019,1,m,INC,82770,61.0,st,AKKALKUWA,ST,41.26,2096,1.04,True
1,2019,2,m,SHS,80674,51.0,st,AKKALKUWA,ST,40.21,59010,29.41,False
1,2019,3,m,IND,21664,44.0,st,AKKALKUWA,ST,10.8,16807,8.38,False
2,2019,1,m,BJP,94931,50.0,st,SHAHADA,ST,45.12,7991,3.8,False
2,2019,2,m,INC,86940,51.0,st,SHAHADA,ST,41.32,65927,31.34,False
2,2019,3,m,IND,21013,59.0,st,SHAHADA,ST,9.99,16953,8.06,False
3,2019,1,m,BJP,121605,64.0,st,NANDURBAR,ST,64.52,70396,37.35,True
3,2019,2,m,INC,51209,71.0,st,NANDURBAR,ST,27.17,44475,23.6,True
3,2019,3,f,VBA,6734,33.0,st,NANDURBAR,ST,3.57,3213,1.7,False
4,2019,1,m,INC,74652,47.0,st,NAWAPUR,ST,34.3,11335,5.21,False
4,2019,2,m,IND,63317,56.0,st,NAWAPUR,ST,29.09,4738,2.18,False
4,2019,3,m,BJP,58579,48.0,st,NAWAPUR,ST,26.91,52570,24.15,False
5,2019,1,f,IND,76166,56.0,st,SAKRI,ST,36.6,7265,3.49,False
5,2019,2,m,BJP,68901,55.0,st,SAKRI,ST,33.11,43599,20.95,False
5,2019,3,m,INC,25302,66.0,st,SAKRI,ST,12.16,11270,5.42,True
6,2019,1,m,INC,125575,45.0,gen,DHULE RURAL,GEN,51.18,14564,5.94,True
6,2019,2,f,BJP,111011,49.0,gen,DHULE RURAL,GEN,45.25,106795,43.53,False
6,2019,3,m,VBA,4216,44.0,sc,DHULE RURAL,GEN,1.72,1968,0.8,False
7,2019,1,m,AIMIM,46679,45.0,gen,DHULE CITY,GEN,28.93,3307,2.05,False
7,2019,2,m,IND,43372,59.0,gen,DHULE CITY,GEN,26.88,940,0.58,False
7,2019,3,m,LKSGM,42432,71.0,gen,DHULE CITY,GEN,26.3,20005,12.4,True
8,2019,1,m,BJP,113809,45.0,gen,SINDKHEDA,GEN,56.74,42915,21.4,True
8,2019,2,m,NCP,70894,49.0,gen,SINDKHEDA,GEN,35.35,61536,30.68,False
8,2019,3,m,IND,9358,48.0,gen,SINDKHEDA,GEN,4.67,7333,3.66,False
9,2019,1,m,BJP,120403,53.0,st,SHIRPUR,ST,56.77,49174,23.19,True
9,2019,2,m,IND,71229,44.0,st,SHIRPUR,ST,33.58,63475,29.93,False
9,2019,3,m,INC,7754,57.0,st,SHIRPUR,ST,3.66,3926,1.85,False
10,2019,1,f,SHS,78137,48.0,st,CHOPDA,ST,39.18,20529,10.29,False
10,2019,2,m,NCP,57608,57.0,st,CHOPDA,ST,28.89,25149,12.61,False
10,2019,3,m,IND,32459,66.0,st,CHOPDA,ST,16.28,15374,7.71,False
11,2019,1,m,INC,77941,60.0,gen,RAVER,GEN,38.32,15609,7.67,False
11,2019,2,m,BJP,62332,66.0,gen,RAVER,GEN,30.65,17491,8.6,True
11,2019,3,m,IND,44841,50.0,gen,RAVER,GEN,22.05,38134,18.75,False
12,2019,1,m,BJP,81689,50.0,sc,BHUSAWAL,SC,54.22,53014,35.19,True
12,2019,2,f,IND,28675,44.0,sc,BHUSAWAL,SC,19.03,8430,5.6,False
12,2019,3,m,NCP,20245,48.0,sc,BHUSAWAL,SC,13.44,13377,8.88,False
13,2019,1,m,BJP,113310,54.0,gen,JALGAON CITY,GEN,62.21,64846,35.6,True
13,2019,2,m,NCP,48464,33.0,gen,JALGAON CITY,GEN,26.61,42134,23.13,False
13,2019,3,m,VBA,6330,65.0,gen,JALGAON CITY,GEN,3.48,1332,0.73,False
14,2019,1,m,SHS,105795,53.0,gen,JALGAON RURAL,GEN,53.33,46729,23.56,True
14,2019,2,m,IND,59066,42.0,gen,JALGAON RURAL,GEN,29.78,41104,20.72,False
14,2019,3,f,NCP,17962,45.0,gen,JALGAON RURAL,GEN,9.06,12132,6.12,False
15,2019,1,m,NCP,93757,51.0,gen,AMALNER,GEN,50.71,8594,4.65,False
15,2019,2,m,BJP,85163,49.0,gen,AMALNER,GEN,46.06,83254,45.03,True
15,2019,3,m,VBA,1909,44.0,gen,AMALNER,GEN,1.03,406,0.22,False
16,2019,1,m,SHS,82650,69.0,gen,ERANDOL,GEN,46.33,18002,10.09,False
16,2019,2,m,NCP,64648,61.0,gen,ERANDOL,GEN,36.24,40061,22.46,True
16,2019,3,m,IND,24587,57.0,gen,ERANDOL,GEN,13.78,22284,12.49,False
17,2019,1,m,BJP,86515,36.0,gen,CHALISGAON,GEN,39.69,4287,1.97,False
17,2019,2,m,NCP,82228,48.0,gen,CHALISGAON,GEN,37.73,43799,20.1,False
17,2019,3,m,VBA,38429,45.0,gen,CHALISGAON,GEN,17.63,33812,15.51,False
18,2019,1,m,SHS,75699,49.0,gen,PACHORA,GEN,37.58,2084,1.03,False
18,2019,2,m,IND,73615,41.0,gen,PACHORA,GEN,36.55,28654,14.23,False
18,2019,3,m,NCP,44961,54.0,gen,PACHORA,GEN,22.32,41747,20.73,False
19,2019,1,m,BJP,114714,59.0,gen,JAMNER,GEN,54.95,35014,16.77,True
19,2019,2,m,NCP,79700,59.0,gen,JAMNER,GEN,38.18,73229,35.08,False
19,2019,3,m,VBA,6471,41.0,gen,JAMNER,GEN,3.1,4353,2.09,False
20,2019,1,m,IND,91092,46.0,gen,MUKTAINAGAR,GEN,46.42,1957,1.0,False
20,2019,2,f,BJP,89135,36.0,gen,MUKTAINAGAR,GEN,45.43,79384,40.46,False
20,2019,3,m,VBA,9751,31.0,gen,MUKTAINAGAR,GEN,4.97,7945,4.05,False
21,2019,1,m,INC,86276,54.0,gen,MALKAPUR,GEN,46.32,14384,7.72,False
21,2019,2,m,BJP,71892,65.0,gen,MALKAPUR,GEN,38.6,59343,31.86,True
21,2019,3,m,VBA,12549,53.0,gen,MALKAPUR,GEN,6.74,2673,1.44,False
22,2019,1,m,SHS,67785,53.0,gen,BULDHANA,GEN,37.83,26075,14.55,False
22,2019,2,m,VBA,41710,54.0,gen,BULDHANA,GEN,23.28,10394,5.8,False
22,2019,3,m,INC,31316,51.0,gen,BULDHANA,GEN,17.48,1373,0.77,True
23,2019,1,f,BJP,93515,36.0,gen,CHIKHLI,GEN,48.16,6810,3.51,False
23,2019,2,m,INC,86705,49.0,gen,CHIKHLI,GEN,44.65,77044,39.68,True
23,2019,3,m,VBA,9661,55.0,gen,CHIKHLI,GEN,4.98,8552,4.4,False
24,2019,1,m,NCP,81701,58.0,gen,SINDKHED RAJA,GEN,40.58,8938,4.44,False
24,2019,2,m,SHS,72763,62.0,gen,SINDKHED RAJA,GEN,36.14,32888,16.34,True
24,2019,3,f,VBA,39875,42.0,gen,SINDKHED RAJA,GEN,19.81,38259,19.0,False
25,2019,1,m,SHS,112038,51.0,sc,MEHKAR,SC,64.09,62202,35.58,True
25,2019,2,m,INC,49836,53.0,sc,MEHKAR,SC,28.51,41786,23.9,False
25,2019,3,m,VBA,8050,39.0,sc,MEHKAR,SC,4.6,5809,3.32,False
26,2019,1,m,BJP,90757,36.0,gen,KHAMGAON,GEN,45.8,16968,8.56,True
26,2019,2,m,INC,73789,50.0,gen,KHAMGAON,GEN,37.24,47832,24.14,False
26,2019,3,m,VBA,25957,64.0,gen,KHAMGAON,GEN,13.1,24084,12.15,False
27,2019,1,m,BJP,102735,50.0,gen,JALGAON (JAMOD),GEN,50.43,35231,17.29,True
27,2019,2,f,INC,67504,36.0,gen,JALGAON (JAMOD),GEN,33.13,37519,18.42,False
27,2019,3,m,VBA,29985,44.0,gen,JALGAON (JAMOD),GEN,14.72,27753,13.62,False
28,2019,1,m,BJP,48586,67.0,gen,AKOT,GEN,26.56,7260,3.97,True
28,2019,2,m,VBA,41326,44.0,gen,AKOT,GEN,22.59,13143,7.19,False
28,2019,3,m,IND,28183,45.0,gen,AKOT,GEN,15.41,504,0.28,False
29,2019,1,m,SHS,69343,46.0,gen,BALAPUR,GEN,35.48,18788,9.61,False
29,2019,2,m,VBA,50555,48.0,gen,BALAPUR,GEN,25.87,6048,3.09,False
29,2019,3,m,AIMIM,44507,55.0,gen,BALAPUR,GEN,22.77,28010,14.33,False
30,2019,1,m,BJP,73262,70.0,gen,AKOLA WEST,GEN,43.23,2593,1.53,True
30,2019,2,m,INC,70669,44.0,gen,AKOLA WEST,GEN,41.7,49982,29.5,False
30,2019,3,m,VBA,20687,56.0,gen,AKOLA WEST,GEN,12.21,18070,10.66,False
31,2019,1,m,BJP,100475,45.0,gen,AKOLA EAST,GEN,51.97,24723,12.79,True
